Datetime,Upstream,Downstream,Body,Actuator,Hyperbaric,Backseat,Spring Chamber,Primary Stem Seal,Secondary Stem Seal,Relief Port,BX Port,Flow Meter,Mass Spectrometer Mantissa,Mass Spectrometer,LVDT,Torque,Number Of Turns,Motor Speed,Ambient Temperature,Body Temperature,Monitor Temperature,Chamber Temperature,Hyperbaric Water Temperature,Close,Open,Cycle Count
01/10/2025 16:24:24.888,-1961593,-1961667,-1960489,-1960253,-1960269,-1959473,-1959952,-1960588,-1960244,-1960179,-1959496,-1953005,0,2,42,-223,0,0,9787,1372,1372,1372,988.7,FALSE,FALSE,1
01/10/2025 16:24:24.898,-1961592,-1961666,-1960489,-1960253,-1960268,-1959473,-1959952,-1960588,-1960245,-1960178,-1959495,-1952976,0,12,26,-213,0,0,9787,1372,1372,1372,988.7,FALSE,FALSE,1
01/10/2025 16:24:24.908,-1961592,-1961665,-1960489,-1960253,-1960268,-1959473,-1959952,-1960587,-1960245,-1960178,-1959495,-1952946,0,6,55,-226,0,0,9787,1372,1372,1372,988.7,FALSE,FALSE,1
01/10/2025 16:24:24.918,-1961592,-1961665,-1960489,-1960254,-1960269,-1959473,-1959952,-1960586,-1960245,-1960178,-1959493,-1952972,0,25,90,-221,0,0,9787,1372,1372,1372,988.7,FALSE,FALSE,1
01/10/2025 16:24:24.928,-1961593,-1961665,-1960489,-1960255,-1960269,-1959472,-1959952,-1960586,-1960246,-1960179,-1959494,-1953008,0,35,79,-214,0,0,9787,1372,1372,1372,988.7,FALSE,FALSE,1
01/10/2025 16:24:24.938,-1961594,-1961665,-1960489,-1960255,-1960269,-1959471,-1959952,-1960586,-1960247,-1960179,-1959494,-1953049,0,0,73,-211,0,0,9787,1372,1372,1372,988.7,FALSE,FALSE,1
01/10/2025 16:24:24.948,-1961594,-1961666,-1960490,-1960254,-1960268,-1959471,-1959952,-1960587,-1960247,-1960179,-1959493,-1953060,0,0,50,-223,0,0,9787,1372,1372,1372,988.7,FALSE,FALSE,1
01/10/2025 16:24:24.958,-1961595,-1961666,-1960491,-1960253,-1960268,-1959470,-1959952,-1960586,-1960247,-1960179,-1959493,-1953018,0,0,49,-240,0,0,9787,1372,1372,1372,988.7,FALSE,FALSE,1
01/10/2025 16:24:24.968,-1961595,-1961667,-1960490,-1960253,-1960268,-1959470,-1959952,-1960586,-1960247,-1960179,-1959494,-1953032,0,0,57,-238,0,0,9787,1372,1372,1372,988.7,FALSE,FALSE,1
01/10/2025 16:24:24.978,-1961596,-1961668,-1960490,-1960252,-1960268,-1959470,-1959952,-1960585,-1960246,-1960180,-1959494,-1953060,0,0,51,-217,0,0,9787,1372,1372,1372,988.7,FALSE,FALSE,1
01/10/2025 16:24:24.988,-1961596,-1961668,-1960489,-1960252,-1960268,-1959470,-1959952,-1960586,-1960246,-1960180,-1959494,-1953053,0,0,73,-216,0,0,9787,1372,1372,1372,988.7,FALSE,FALSE,1
01/10/2025 16:24:24.998,-1961596,-1961667,-1960488,-1960251,-1960267,-1959471,-1959953,-1960587,-1960247,-1960180,-1959495,-1953028,0,0,73,-205,0,0,9787,1372,1372,1372,988.7,FALSE,FALSE,1
01/10/2025 16:24:25.008,-1961597,-1961667,-1960488,-1960251,-1960266,-1959472,-1959953,-1960587,-1960246,-1960181,-1959495,-1953055,0,0,59,-191,0,0,9787,1372,1372,1372,988.7,FALSE,FALSE,1
01/10/2025 16:24:25.018,-1961596,-1961668,-1960488,-1960251,-1960266,-1959472,-1959953,-1960587,-1960246,-1960181,-1959495,-1953036,0,2,66,-193,0,0,9787,1372,1372,1372,988.7,FALSE,FALSE,1
01/10/2025 16:24:25.028,-1961596,-1961668,-1960489,-1960250,-1960266,-1959473,-1959954,-1960587,-1960246,-1960180,-1959495,-1953003,0,0,73,-196,0,0,9787,1372,1372,1372,988.7,FALSE,FALSE,1
01/10/2025 16:24:25.038,-1961596,-1961668,-1960488,-1960250,-1960267,-1959474,-1959955,-1960588,-1960247,-1960180,-1959495,-1953020,0,0,75,-199,0,0,9787,1372,1372,1372,988.7,FALSE,FALSE,1
01/10/2025 16:24:25.048,-1961596,-1961668,-1960487,-1960250,-1960267,-1959475,-1959955,-1960588,-1960247,-1960179,-1959496,-1953008,0,16,60,-212,0,0,9787,1372,1372,1372,988.7,FALSE,FALSE,1
01/10/2025 16:24:25.058,-1961596,-1961668,-1960488,-1960250,-1960268,-1959475,-1959955,-1960589,-1960247,-1960179,-1959496,-1953044,0,13,34,-219,0,0,9787,1372,1372,1372,988.7,FALSE,FALSE,1
01/10/2025 16:24:25.068,-1961596,-1961668,-1960488,-1960250,-1960268,-1959474,-1959955,-1960589,-1960246,-1960179,-1959496,-1953089,0,8,54,-234,0,0,9786,1372,1372,1372,988.6,FALSE,FALSE,1
01/10/2025 16:24:25.078,-1961596,-1961668,-1960488,-1960251,-1960269,-1959474,-1959956,-1960588,-1960246,-1960179,-1959496,-1953047,0,4,98,-203,0,0,9786,1372,1372,1372,988.6,FALSE,FALSE,1
01/10/2025 16:24:25.088,-1961595,-1961667,-1960489,-1960251,-1960268,-1959474,-1959957,-1960587,-1960247,-1960179,-1959495,-1953017,0,0,85,-187,0,0,9786,1372,1372,1372,988.6,FALSE,FALSE,1
01/10/2025 16:24:25.098,-1961596,-1961668,-1960489,-1960250,-1960268,-1959473,-1959957,-1960586,-1960246,-1960179,-1959495,-1953025,0,0,38,-214,0,0,9786,1372,1372,1372,988.6,FALSE,FALSE,1
01/10/2025 16:24:25.108,-1961596,-1961668,-1960489,-1960249,-1960268,-1959473,-1959957,-1960586,-1960246,-1960179,-1959495,-1953052,0,0,48,-226,0,0,9786,1372,1372,1372,988.6,FALSE,FALSE,1
01/10/2025 16:24:25.118,-1961596,-1961668,-1960489,-1960249,-1960267,-1959473,-1959957,-1960586,-1960247,-1960180,-1959495,-1953066,0,0,56,-230,0,0,9786,1372,1372,1372,988.6,FALSE,FALSE,1
01/10/2025 16:24:25.128,-1961596,-1961668,-1960489,-1960249,-1960268,-1959473,-1959958,-1960586,-1960247,-1960181,-1959494,-1953040,0,12,51,-212,0,0,9786,1372,1372,1372,988.6,FALSE,FALSE,1
01/10/2025 16:24:25.138,-1961597,-1961667,-1960489,-1960250,-1960269,-1959473,-1959958,-1960586,-1960247,-1960181,-1959494,-1953071,0,0,71,-228,0,0,9786,1372,1372,1372,988.6,FALSE,FALSE,1
